START,END,HOURS,NOTE
Wed Apr 17 11:33:40 2019,Wed Apr 17 11:36:06 2019,0.04,
Wed Apr 17 11:36:23 2019,Wed Apr 17 11:36:51 2019,0.01,
Wed Apr 17 11:43:22 2019,Wed Apr 17 11:45:02 2019,0.03,
Wed Apr 17 11:45:57 2019,Wed Apr 17 11:46:30 2019,0.01,working on clck!
Wed Apr 17 11:47:38 2019,Wed Apr 17 11:47:55 2019,0.0,
Wed Apr 17 11:50:49 2019,Wed Apr 17 11:51:25 2019,0.01,
